xy,osite,lohko,koeala,kuvio,koko9,koko564,kunta,maku,vv,mluok,fra,alar,kptylm,ojtil,pt,jaksot,khlk,ppa,kasru,klpm,kpituus,ika,kokru,laatu,bm1,bm2,bm1ma,bm2ma,bm1ku,bm2ku,bm1ko,bm2ko,bm1ml,bm2ml,n_l
410000-6810000,2.0,32058.0,2.0,1.0,10.0,10.0,576.0,7.0,18.0,1.0,1.0,1.0,0.0,0.0,3.0,1.6666666666666667,4.333333333333333,18.33333333333333,0.0,17.0,149.33333333333334,44.0,0.0,1.6666666666666667,67.54154787466666,17.948400881666668,34.379369519,8.970823712866668,32.316565743333335,8.6743636016,0.8456126126000001,0.3032135675,0.0,0.0,16.0
410000-6820000,1.0769230769230769,30281.46153846154,6.307692307692308,1.0769230769230769,9.23076923076923,9.23076923076923,328.6923076923077,6.076923076923077,14.153846153846152,1.6153846153846154,1.3076923076923077,1.0,0.0,0.0909090909090909,3.0,1.0909090909090908,3.8181818181818175,10.727272727272728,2125.0,13.6,113.54545454545456,26.181818181818183,4725.0,2.1818181818181817,31.08054144008182,9.294002294763636,4.006570822663637,0.9802038243727274,17.450551414363638,5.4556232576,9.113582176227272,2.695684559181818,0.5098370268090909,0.162490653590909,19.22222222222222
410000-6830000,1.0,280550.0,9.333333333333334,1.3333333333333333,7.083333333333333,7.083333333333333,291.0,6.0,16.0,1.25,1.1666666666666667,1.3478260869565215,0.2857142857142857,0.238095238095238,2.9166666666666665,1.4,4.227272727272728,18.1,1821.4285714285716,16.842105263157894,133.15,40.25,10285.714285714286,2.15,43.764356088540914,12.186759721018182,9.382327191536364,2.364324588540909,21.512104445054547,6.40156483865909,10.935177939504545,2.92056272315,1.934746512590909,0.5003075706227272,15.0
410000-6840000,1.0,350413.63636363635,11.636363636363637,1.3636363636363635,6.636363636363637,6.545454545454546,201.8181818181818,11.727272727272728,15.545454545454543,1.6363636363636365,1.2727272727272727,1.0,0.0,0.0,2.8181818181818183,1.1111111111111112,4.625,15.22222222222222,3500.0,25.33333333333333,153.55555555555554,91.44444444444444,15000.0,1.7142857142857142,55.95492202495,15.07029512465,29.37003658939,7.498019754980001,24.97914010106,7.021968015650001,1.6057453342000003,0.55030735399,0.0,0.0,14.333333333333334
410000-6850000,1.0,140871.42857142858,8.928571428571429,1.4285714285714286,6.428571428571429,6.428571428571429,182.0,13.0,15.714285714285714,1.5714285714285714,1.2857142857142858,1.0,0.0,0.0909090909090909,3.0,1.0909090909090908,5.0,21.59090909090909,2125.0,19.40909090909091,174.27272727272728,56.95454545454545,2425.0,1.9090909090909087,72.102072927725,20.1537123587,14.991694468879167,3.893614591066666,47.031876523425005,13.430892750475,7.329203666841667,2.1599506657666665,2.7492982680041664,0.6692543513333332,19.454545454545453
410000-6860000,1.0,140155.26315789475,6.105263157894737,1.1578947368421053,8.421052631578947,8.421052631578947,181.8421052631579,13.0,14.157894736842104,1.894736842105263,1.4736842105263157,1.0,0.0,0.0,2.9473684210526314,1.0,4.333333333333333,15.266666666666667,2112.5,15.666666666666666,135.73333333333332,49.93333333333333,6887.5,1.8666666666666667,45.79842192298,12.616496016873333,18.45882395762,4.81269764878,15.92029796964,4.567470734466667,11.333529029166666,3.2019111743,0.0857709665533333,0.03441645924,14.285714285714286
410000-6870000,1.0,203083.3333333333,8.5,1.2666666666666666,7.333333333333333,7.333333333333333,180.0,13.0,17.7,2.6666666666666665,1.7666666666666666,1.15,0.4,0.6,3.0,1.0666666666666669,3.8947368421052633,21.73333333333333,1975.0,15.785714285714286,135.53333333333333,37.46666666666667,4458.333333333333,1.6,52.35586616937369,14.84772990813684,5.142177520552631,1.2215378408473685,37.15392786964737,10.574017130221051,7.63320165386842,2.3624494904894737,2.4265591247631577,0.6897254465421052,21.214285714285715
410000-6880000,1.0,248576.31578947368,8.736842105263158,1.105263157894737,8.947368421052632,8.947368421052632,180.26315789473685,13.0,17.0,1.263157894736842,1.105263157894737,1.6111111111111112,0.0,1.588235294117647,3.0,1.588235294117647,4.444444444444445,18.41176470588235,1250.0,18.625,152.8235294117647,53.52941176470589,3700.0,1.3529411764705883,62.69972404315556,17.26608904995,27.63696378522222,7.318062862822223,19.97914286721111,5.680704587694445,9.721359953533332,2.762656808855556,5.362257436955556,1.5046647906166666,20.705882352941178
410000-6890000,1.0,39490.0,6.2,1.28,7.2,7.2,228.56,13.0,16.12,1.32,1.08,1.625,0.75,1.2916666666666667,2.88,1.1666666666666667,4.260869565217392,20.166666666666668,2250.0,18.047619047619047,147.91666666666666,52.375,4610.0,1.7826086956521738,55.81622019799167,15.2524645099875,20.459850163791668,4.778353504708334,27.3970125542125,8.153920649079167,7.368874854708333,2.1025790953541668,0.5904826256416666,0.2176112609375,17.285714285714285
410000-6900000,1.0,219264.2857142857,8.214285714285714,1.1428571428571428,8.285714285714286,8.571428571428571,592.0,13.0,16.0,2.571428571428572,1.7142857142857142,1.4,0.0,0.4,2.9285714285714284,1.1111111111111112,4.333333333333333,25.22222222222222,0.0,17.555555555555557,154.33333333333334,39.0,0.0,2.2222222222222223,94.24743399044443,27.06846386935556,18.87530910614445,4.553099145688889,51.88219710928889,15.541570134855554,18.5835041784,5.297912985366667,4.906423597833333,1.6758816034888888,30.33333333333333
